coord,model,horizon,rmse,n,skill
h1,linear_recent,40,0.18659714546775363,53,0.15548455059611932
h1,linear_recent,50,0.16764400547562833,45,0.2394170230409659
h1,linear_recent,75,0.2548034253368404,31,0.21131195963262228
h1,linear_recent,100,0.3623664442743291,14,0.141339674863319
h1,quadratic_recent,1,0.02868551208612131,60,-183.81837333973616
h1,quadratic_recent,3,0.04055356645285511,60,-0.7154246689178372
h1,quadratic_recent,5,0.056232242996435096,60,-0.14801728467180042
h1,quadratic_recent,10,0.06934548993827074,60,0.061711135913027904
h1,quadratic_recent,15,0.08854220743060486,60,0.12445219406504093
h1,quadratic_recent,20,0.09940049501067749,60,0.10391975340031867
h1,quadratic_recent,30,0.14303483171105058,60,-0.08705833018949405
h1,quadratic_recent,40,0.22951779973667302,53,-0.2777042850959961
h1,quadratic_recent,50,0.2314587774107598,45,-0.44983257417104805
h1,quadratic_recent,75,0.22442038278812468,31,0.3881861150540621
h1,quadratic_recent,100,0.37356574062189857,14,0.08744399174266415
h1,ar2,1,0.06009706814757879,60,-810.197306225919
h1,ar2,3,0.285208593414523,60,-83.84744264599766
h1,ar2,5,1.7214660357466538,60,-1074.9064967481106
h1,ar2,10,169.16320840434273,60,-5583568.770478826
h1,ar2,15,16511.717965060157,60,-30448345404.412853
h1,ar2,20,1612734.8488726872,60,-235882515453594.25
h1,ar2,30,15384563764.813662,60,-1.2575915253301382e+22
h1,ar2,40,156151214909414.56,53,-5.914095627851387e+29
h1,ar2,50,15856.19913068095,45,-6804069263.215004
h1,ar2,75,0.24222465115647235,31,0.2872595455888993
h1,ar2,100,0.37139402062171606,14,0.09802341746216092
